"","inv_cogn1","inv_cogn2","inv_cognNews","inv_beh1","inv_beh_p1","inv_beh_p2","inv_beh_p3","inv_beh_p4","inv_beh_p5","inv_beh2","discourse1","discourse2","attitude","mean_involvement"
"5378",2,2,3,1,0,0,0,0,0,0,2,0,8,2.33333333333333
"5379",2,1,3,1,0,0,0,0,0,0,1,0,NA,2
"5380",3,3,3,1,0,0,0,0,0,0,3,0,6,3
"5381",3,3,3,1,0,0,0,0,0,0,3,0,7,3
"5382",3,3,3,1,1,1,1,0,0,3,3,1,6,3
"5383",3,2,3,1,0,0,0,0,0,0,3,0,7,2.66666666666667
"5384",3,3,3,1,-9,-9,-9,-9,-9,NA,3,NA,2,3
"5385",3,2,3,1,0,0,0,0,0,0,3,0,7,2.66666666666667
"5386",2,1,3,1,0,0,0,0,0,1,3,1,5,2
"5387",3,1,3,1,0,0,0,0,0,0,3,0,NA,2.33333333333333
"5388",3,3,3,1,1,1,1,0,0,3,3,1,6,3
"5389",2,2,3,1,0,0,0,0,0,0,3,0,5,2.33333333333333
"5390",3,3,3,1,0,0,0,0,0,0,3,0,8,3
"5391",1,1,1,1,0,0,0,0,0,0,1,0,5,1
"5392",3,2,3,1,0,0,0,0,0,0,3,0,7,2.66666666666667
"5393",2,2,3,1,0,0,0,0,0,0,3,0,5,2.33333333333333
"5394",3,3,3,1,0,0,0,0,0,0,3,0,5,3
"5395",3,3,3,1,0,0,0,0,1,2,3,1,5,3
"5396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5397",2,1,3,1,0,0,0,0,0,0,2,0,5,2
"5398",3,3,3,1,0,0,0,0,0,0,3,0,2,3
"5399",3,3,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3
"5400",3,3,3,1,0,0,0,0,0,0,3,0,3,3
"5401",3,3,3,1,1,0,1,0,0,2,3,1,1,3
"5402",NA,NA,NA,1,0,0,0,0,0,0,NA,0,8,NA
"5403",3,3,3,NA,0,0,0,0,0,0,3,0,7,3
"5404",3,2,3,NA,0,0,0,0,0,0,2,0,5,2.66666666666667
"5405",3,3,3,1,0,0,0,0,0,0,3,0,2,3
